Level	Date and Time	Source	Event ID	Task Category
Information	10/12/2022 10:44:11 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: deffc10d-dae7-4906-9056-e49b11a194d4; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Warning	10/12/2022 10:43:45 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:43:45Z] Session (ID: 095f870c-c9a2-4935-b0df-4866b5b4c0fb) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Warning	10/12/2022 10:43:45 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 095f870c-c9a2-4935-b0df-4866b5b4c0fb) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Information	10/12/2022 10:43:35 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:43:35Z] Session (ID: 095f870c-c9a2-4935-b0df-4866b5b4c0fb) started. Process Name: Login"
Information	10/12/2022 10:43:35 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: 095f870c-c9a2-4935-b0df-4866b5b4c0fb) started. Process Name: Login"
Information	10/12/2022 10:43:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:43:28Z] Created session: 095f870c-c9a2-4935-b0df-4866b5b4c0fb; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:43:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 095f870c-c9a2-4935-b0df-4866b5b4c0fb; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:43:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 095f870c-c9a2-4935-b0df-4866b5b4c0fb; process: Login; Run Mode: Exclusive"
Information	10/12/2022 10:31:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:31:28Z] Session deleted - ID: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9"
Information	10/12/2022 10:31:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session deleted - ID: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9"
Information	10/12/2022 10:31:28 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session deleted - ID: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9"
Information	10/12/2022 10:29:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:29:21Z] Created session: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 10:29:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Information	10/12/2022 10:29:21 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Created session: 0bb745b3-6d6f-4ebf-a57f-0bbcd53243f9; process: SCL_ HTS_ECCN_Exp_Classif; Run Mode: Exclusive"
Warning	10/12/2022 10:28:50 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.Resources.ResourceRunnerBase
[2022-10-12 10:28:50Z] Session (ID: b467b51a-f6bb-4697-86b8-32b4ba071a26) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
Warning	10/12/2022 10:28:50 AM	Blue Prism Resource (Port 8181)	0	None	"BluePrism.AutomateAppCore.clsListener
Session (ID: b467b51a-f6bb-4697-86b8-32b4ba071a26) terminated. Process Name: Login; Reason: Invalid Login State : The machine must be logged out to accept a login request"
